id,Date,State,Total Confirmed Cases,Total Deaths
265,Wed 12/28,Oregon,939303,8967
266,Wed 12/28,Pennsylvania,3416142,48972
267,Wed 12/28,Puerto Rico,1082619,5519
268,Wed 12/28,Rhode Island,443645,3800
269,Wed 12/28,South Carolina,1770059,19385
270,Wed 12/28,South Dakota,271856,3138
271,Wed 12/28,Tennessee,2367936,28274
272,Wed 12/28,Texas,8111323,92704
273,Wed 12/28,Utah,1072888,5177
274,Wed 12/28,Vermont,148393,791
275,Wed 12/28,Virgin Islands,23764,127
276,Wed 12/28,Virginia,2199302,22793
277,Wed 12/28,Washington,1883676,15067
278,Wed 12/28,West Virginia,623541,7786
279,Wed 12/28,Wisconsin,1958296,15848
280,Wed 12/28,Wyoming,182847,1959
281,Thu 12/29,Alabama,1573637,21208
282,Thu 12/29,Alaska,301774,1408
283,Thu 12/29,American Samoa,8266,34
284,Thu 12/29,Arizona,2378334,32182
285,Thu 12/29,Arkansas,983942,12697
286,Thu 12/29,California,11822939,100837
287,Thu 12/29,Colorado,1733812,13891
288,Thu 12/29,Connecticut,947016,11770
289,Thu 12/29,Delaware,321888,3206
290,Thu 12/29,District of Columbia,173626,1411
291,Thu 12/29,Florida,7269428,83606
292,Thu 12/29,Georgia,2898584,39964
293,Thu 12/29,Guam,60845,412
294,Thu 12/29,Hawaii,363188,1758
295,Thu 12/29,Idaho,511718,5329
296,Thu 12/29,Illinois,3973551,40657
297,Thu 12/29,Indiana,2002760,25364
298,Thu 12/29,Iowa,886411,10424
299,Thu 12/29,Kansas,917091,9852
300,Thu 12/29,Kentucky,1660077,17751
301,Thu 12/29,Louisiana,1514113,18370
302,Thu 12/29,Maine,306215,2807
303,Thu 12/29,Maryland,1316937,16020
304,Thu 12/29,Massachusetts,2154886,22940
305,Thu 12/29,Michigan,2979504,40767
306,Thu 12/29,Minnesota,1736893,14320
307,Thu 12/29,Mississippi,955145,13124
308,Thu 12/29,Missouri,1743114,23280
309,Thu 12/29,Montana,322552,3635
310,Thu 12/29,Nebraska,555377,4843
311,Thu 12/29,Nevada,876118,11880
312,Thu 12/29,New Hampshire,367243,2853
313,Thu 12/29,New Jersey,2923180,35486
314,Thu 12/29,New Mexico,658690,8822
315,Thu 12/29,New York,6552600,77677
316,Thu 12/29,North Carolina,3316814,28789
317,Thu 12/29,North Dakota,280043,2474
318,Thu 12/29,Northern Mariana Islands,13236,41
319,Thu 12/29,Ohio,3307568,41018
320,Thu 12/29,Oklahoma,1250013,16054
321,Thu 12/29,Oregon,939303,8967
322,Thu 12/29,Pennsylvania,3416142,48972
323,Thu 12/29,Puerto Rico,1084004,5530
324,Thu 12/29,Rhode Island,443645,3800
325,Thu 12/29,South Carolina,1770059,19385
326,Thu 12/29,South Dakota,271856,3138
327,Thu 12/29,Tennessee,2367936,28274
328,Thu 12/29,Texas,8111323,92707
329,Thu 12/29,Utah,1075137,5187
330,Thu 12/29,Vermont,148393,791
331,Thu 12/29,Virgin Islands,23769,127
332,Thu 12/29,Virginia,2202436,22793
333,Thu 12/29,Washington,1883676,15067
334,Thu 12/29,West Virginia,624174,7786
335,Thu 12/29,Wisconsin,1959643,15858
336,Thu 12/29,Wyoming,182847,1959
337,Fri 12/30,Alabama,1573637,21208
338,Fri 12/30,Alaska,301774,1408
339,Fri 12/30,American Samoa,8266,34
340,Fri 12/30,Arizona,2378334,32182
341,Fri 12/30,Arkansas,984824,12699
342,Fri 12/30,California,11826466,100865
