PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr
HAT-P-30 b,2,0.711,1.34,2.810595,0.0419,0.035,,,,83.6,1552.5,,transit,2011,12/11/24,08 15 48,+05 50 12,193,1.242,1.215,0.13,6304,1
91 Aquarii A b,2,3.2,,181.4,0.7,0.027,177.3,,,,,,RV,2003,15/11/03,23 15 53.49482,-09 05 15.8546,45.93,1.4,11,-0.03,4665,3.56
HAT-P-54 b,0,0.76,0.944,,0.04117,,,,,87.04,818,,transit,2014,14/04/18,06 39 36,-25 28 57,135.8,0.645,0.617,-0.127,4390,3.9
HAT-P-57 b,2,,1.413,2.465295,0.0406,0,,,,88.26,,,transit,2015,15/11/01,18 18 58.32,+10 35 50.3,303,1.47,1.5,-0.25,7500,1
HD 82943 b,0,1.75,,442.4,1.1866,0.203,107,333,,19.41,250.5,,RV,2003,13/06/05,09 34 50,-12 07 46,27.46,1.13,1.12,0.32,5874,3
HD 82943 c,0,2.01,,219.3,0.7423,0.425,133,256,,19.41,314.7,,RV,2003,13/06/05,09 34 50,-12 07 46,27.46,1.13,1.12,0.32,5874,3
CoRoT-27 b,0,10.39,1.007,3.57532,0.0476,,,,,86.7,1500,,transit,2014,14/01/07,18 33 59,+05 32 19,,1.05,1.08,0.1,5900,4.21
KOI-12 b,0,,1.44,17.8552332,0.151,,,,,88.9,,,transit,2015,15/05/03,19 49 48.90,+41 00 39.56,426,1.452,1.63,0.09,6820,1.5
Kepler-106 c,0,0.032841,0.227826,13.5708,,,,,,,,,transit,2014,14/02/24,20 03 27,+44 20 15,453.9,1,1.04,-0.12,5858,4.83
Kepler-106 e,0,0.035137,0.233294,43.8445,,,,,,,,,transit,2014,14/02/24,20 03 27,+44 20 15,453.9,1,1.04,-0.12,5858,4.83
Kepler-106 b,0,,0.074727,6.16486,,,,,,,,,transit,2014,14/02/24,20 03 27,+44 20 15,453.9,1,1.04,-0.12,5858,4.83
Kepler-106 d,0,,0.086574,23.9802,,,,,,,,,transit,2014,14/02/24,20 03 27,+44 20 15,453.9,1,1.04,-0.12,5858,4.83
TrES-5 b,0,1.778,1.209,1.4822446,0.02446,,,,,84.529,,,transit,2011,11/09/05,20 20 53,+59 26 55,360,0.88,0.85,0.2,5171,7.38
Kepler-41 b,0,0.56,1.04,1.8555582,0.03101,0,,,,82.51,,,RV,2011,15/12/03,19 38 03,+48 58 54,771.43,1.12,1.02,0.29,5620,4.4
HD 75784 b,0,1.15,,341.7,1.073,0.13,,,,,,,RV,2014,14/11/19,08 52 23.941,+13 14 00.37,68.7,1.41,3.3,0.25,4917,4
WASP-20 b,0,0.313,1.458,4.8996285,0.06003,0,,,,85.57,1379,,transit,2011,14/02/07,00 20 38.5361,-23 56 08.567,210,1.202,1.392,-0.009,5950,7
Upsilon Andromedae A b,2,1.78,,4.61716,0.059408,0.011769,51.14,,7.28,22.99,1440.1,,RV,1996,15/03/16,01 36 48,+41 24 38,13.47,1.27,1.631,0.09,6212,3.1
Upsilon Andromedae A c,2,10.78,,241.02,0.83158,0.247042,248.74,,256.34,10.09,375.6,,RV,1999,15/03/16,01 36 48,+41 24 38,13.47,1.27,1.631,0.09,6212,3.1
Upsilon Andromedae A d,2,8.86,,1282.57,2.533539,0.24909,253.27,,9.97,28.3,218,,RV,1999,15/03/16,01 36 48,+41 24 38,13.47,1.27,1.631,0.09,6212,3.1
Upsilon Andromedae A e,2,1.059,,3848.86,5.2456,0.00536,,,,,150.6,,RV,2010,15/03/16,01 36 48,+41 24 38,13.47,1.27,1.631,0.09,6212,3.1
OGLE-TR-113 b,0,1.26,1.051,1.43247506,0.02288,0,,,,87.8,,,transit,2004,15/11/16,10 52 24.40,-61 26 48.5,1500,0.779,0.774,0.09,4790,13.2
ROXs 12 b,0,16,,,,,,,,,,,imaging,2013,13/12/02,16 26 28,-25 27 24,120,0.87,,,3850,0.0076
Kepler-99 b,0,0.019346,0.134873,4.60358,,,,,,,,,transit,2014,14/02/24,19 49 25,+41 18 00,221.3,0.79,0.73,0.18,4782,1.47
GU Psc b,0,11,,,,,,,,,1050,,imaging,2014,14/05/14,01 12 35,+17 03 56,48,0.325,,0.1,,0.1
WASP-110 b,0,0.51,1.238,3.7783977,0.0457,,,,,88.06,1134,,transit,2014,14/10/14,20 23 29.55,-44 03 30.3,320,0.892,0.881,-0.06,5400,8.6
WASP-117 b,0,0.2755,1.021,10.02165,0.09459,0.302,242,,,89.14,1024,,transit,2014,14/06/27,02 27 06.0972,-50 17 04.354,,1.126,1.17,-0.11,6040,4.6
Kepler-109 b,0,,0.215979,6.48163,0.069,,,,,87,,,transit,2014,14/02/24,19 21 34.263,+40 17 05.66,468.1,1.04,1.32,-0.08,5952,5.73
Kepler-109 c,0,,0.229648,21.2227,0.152,0.03,,,,89.6,,,transit,2014,14/02/24,19 21 34.263,+40 17 05.66,468.1,1.04,1.32,-0.08,5952,5.73
KOI-368.01,0,,2.1,110.321611,0.6,0.07,,,,89.215,3060,,transit,2013,13/07/10,19 23 25,+42 05 12,1200,2.3,2.5,0.4,9257,0.25
HATS-7 b,0,0.12,0.563,3.185315,0.04012,,,,,87.92,,,transit,2015,15/07/07,13 55 25.68,-21 12 27.7,257,0.849,0.815,0.25,4985,7.8
Kepler-33 b,0,,0.158566,5.66793,0.0677,,,,,86.39,1349.8,,transit,2012,12/01/26,19 16 18,+46 00 18,917.8,1.291,1.82,0.025,5904,4.27
Kepler-33 c,0,0.00252,0.2916,13.17562,0.1189,,,,,88.19,1018.5,,transit,2012,16/01/13,19 16 18,+46 00 18,917.8,1.291,1.82,0.025,5904,4.27
Kepler-33 d,0,0.01478,0.487547,21.77596,0.166,,,,,88.71,861.5,,transit,2012,16/01/13,19 16 18,+46 00 18,917.8,1.291,1.82,0.025,5904,4.27
Kepler-33 e,0,0.02108,0.366343,31.7844,0.2138,,,,,,759.5,,transit,2012,16/01/13,19 16 18,+46 00 18,917.8,1.291,1.82,0.025,5904,4.27
Kepler-33 f,0,0.03618,0.406441,41.02902,0.2535,,,,,,697.5,,transit,2012,16/01/13,19 16 18,+46 00 18,917.8,1.291,1.82,0.025,5904,4.27
HD 73526 b,0,2.35,,189.65,0.65,0.265,,,,,369.5,,RV,2002,14/03/03,08 37 16,-41 19 08,99,1.08,1.49,0.25,5590,5.59
HD 73526 c,0,2.19,,376.93,1.03,0.198,,,,,293.3,,RV,2006,14/03/03,08 37 16,-41 19 08,99,1.08,1.49,0.25,5590,5.59
HATS-9 b,0,0.837,1.065,1.9153073,0.03048,,,,,86.5,1823,,transit,2015,15/02/28,19 23 14.28,-20 09 58.7,622,1.03,1.503,0.34,5366,10.8
Gliese 504 b,0,4,,,,,,,,,510,,imaging,2013,13/07/22,13 16 47,+09 25 27,17.56,1.22,,0.28,6234,0.16
Kepler-65 b,0,,0.1257,2.1549156,0.035,0.02,,,,81,,,transit,2013,13/02/17,19 14 45,+41 09 04,246.65,1.25,1.41,0.17,6211,2.9
Kepler-65 c,0,,0.2294,5.8599408,0.068,0.08,,,,81,,,transit,2013,13/02/17,19 14 45,+41 09 04,246.65,1.25,1.41,0.17,6211,2.9
Kepler-65 d,0,,0.1344,8.131231,0.084,0.1,,,,81,,,transit,2013,13/02/17,19 14 45,+41 09 04,246.65,1.25,1.41,0.17,6211,2.9
Kepler-19 b,0,,0.1971,9.2869944,0.0846,,,,,89.94,,,transit,2011,11/09/09,19 21 41,+37 51 06,,0.936,0.85,-0.13,5541,1.9
Kepler-19 c,0,,,,,,,,,,,,timing,2011,15/03/18,19 21 41,+37 51 06,,0.936,0.85,-0.13,5541,1.9
CoRoT-22 b,0,0.0383853003,0.4353652161,9.75598,0.092,0.077,210,,,89.749,885,,transit,2014,14/08/28,18 42 40.109,+06 13 08.97,592,1.099,1.136,0.17,5939,3.3
KOI-1257 b,2,1.45,0.94,86.647661,0.382,0.772,141.3,,,89.66,511,,transit,2014,14/06/25,19 24 54,+44 55 38,900,0.99,1.13,0.27,5520,9.3
Kepler-89 b,0,0.0330298,0.1558328,3.743208,0.05119,0.25,,,,89.3,1486,,transit,2012,13/03/15,19 49 19,+41 53 28,426.2,1.28,1.52,0.02,6182,3.16
